id,origin,destination,ruta,freq
0,Queens_14,Manhattan_10,Queens_14 - Manhattan_10,512
1,Queens_14,Brooklyn_21,Queens_14 - Brooklyn_21,120
2,Manhattan_17,Manhattan_12,Manhattan_17 - Manhattan_12,122
3,Manhattan_7,Manhattan_9,Manhattan_7 - Manhattan_9,1998
4,Manhattan_9,Manhattan_18,Manhattan_9 - Manhattan_18,97
5,Manhattan_9,Manhattan_1,Manhattan_9 - Manhattan_1,1711
6,Manhattan_3,Manhattan_1,Manhattan_3 - Manhattan_1,1829
7,Queens_14,Brooklyn_23,Queens_14 - Brooklyn_23,326
8,Manhattan_3,Manhattan_12,Manhattan_3 - Manhattan_12,1213
9,Manhattan_4,Manhattan_4,Manhattan_4 - Manhattan_4,166
10,Manhattan_5,Manhattan_12,Manhattan_5 - Manhattan_12,572
11,Manhattan_5,Manhattan_5,Manhattan_5 - Manhattan_5,1551
12,Manhattan_12,Manhattan_17,Manhattan_12 - Manhattan_17,180
13,Manhattan_8,Manhattan_20,Manhattan_8 - Manhattan_20,42
14,Manhattan_13,Manhattan_8,Manhattan_13 - Manhattan_8,1607
15,Manhattan_8,Manhattan_7,Manhattan_8 - Manhattan_7,1918
16,Manhattan_12,Manhattan_13,Manhattan_12 - Manhattan_13,6518
17,Manhattan_9,Manhattan_9,Manhattan_9 - Manhattan_9,5547
18,Brooklyn_22,Brooklyn_21,Brooklyn_22 - Brooklyn_21,38
19,Manhattan_1,Manhattan_15,Manhattan_1 - Manhattan_15,131
20,Manhattan_3,Manhattan_9,Manhattan_3 - Manhattan_9,1485
21,Manhattan_3,Manhattan_5,Manhattan_3 - Manhattan_5,1121
22,Manhattan_7,Manhattan_12,Manhattan_7 - Manhattan_12,1729
23,Manhattan_9,Manhattan_21,Manhattan_9 - Manhattan_21,93
24,Manhattan_8,Brooklyn_19,Manhattan_8 - Brooklyn_19,26
25,Manhattan_13,Manhattan_13,Manhattan_13 - Manhattan_13,22679
26,Manhattan_11,Manhattan_13,Manhattan_11 - Manhattan_13,3361
27,Queens_14,Manhattan_5,Queens_14 - Manhattan_5,299
28,Manhattan_12,Manhattan_12,Manhattan_12 - Manhattan_12,7162
29,Manhattan_15,Manhattan_14,Manhattan_15 - Manhattan_14,361
30,Queens_16,Queens_15,Queens_16 - Queens_15,713
31,Queens_15,Queens_15,Queens_15 - Queens_15,3305
32,Manhattan_2,Queens_15,Manhattan_2 - Queens_15,19
33,Queens_15,Manhattan_8,Queens_15 - Manhattan_8,50
34,Queens_14,Manhattan_13,Queens_14 - Manhattan_13,700
35,Manhattan_13,Manhattan_21,Manhattan_13 - Manhattan_21,122
36,Brooklyn_20,Brooklyn_16,Brooklyn_20 - Brooklyn_16,135
37,Manhattan_12,Manhattan_1,Manhattan_12 - Manhattan_1,1501
38,Queens_16,Manhattan_13,Queens_16 - Manhattan_13,830
39,Queens_16,Manhattan_5,Queens_16 - Manhattan_5,265
40,Queens_14,Brooklyn_20,Queens_14 - Brooklyn_20,213
41,Manhattan_1,Brooklyn_6,Manhattan_1 - Brooklyn_6,13
42,Manhattan_8,Manhattan_2,Manhattan_8 - Manhattan_2,539
43,Manhattan_12,Manhattan_5,Manhattan_12 - Manhattan_5,655
44,Queens_16,Manhattan_14,Queens_16 - Manhattan_14,125
45,Manhattan_13,Manhattan_7,Manhattan_13 - Manhattan_7,516
46,Manhattan_9,Manhattan_12,Manhattan_9 - Manhattan_12,7536
47,Manhattan_5,Queens_9,Manhattan_5 - Queens_9,44
48,Manhattan_11,Manhattan_12,Manhattan_11 - Manhattan_12,3174
49,Manhattan_11,Manhattan_15,Manhattan_11 - Manhattan_15,2713
50,Queens_14,Manhattan_9,Queens_14 - Manhattan_9,564
51,Manhattan_5,Brooklyn_22,Manhattan_5 - Brooklyn_22,135
52,Manhattan_13,Manhattan_15,Manhattan_13 - Manhattan_15,1811
53,Manhattan_6,Manhattan_12,Manhattan_6 - Manhattan_12,808
54,Manhattan_10,Manhattan_2,Manhattan_10 - Manhattan_2,227
55,Manhattan_6,Manhattan_6,Manhattan_6 - Manhattan_6,285
56,Manhattan_9,Manhattan_11,Manhattan_9 - Manhattan_11,1198
57,Brooklyn_20,Manhattan_3,Brooklyn_20 - Manhattan_3,64
58,Manhattan_12,Brooklyn_20,Manhattan_12 - Brooklyn_20,153
59,Queens_16,Manhattan_1,Queens_16 - Manhattan_1,707
60,Manhattan_9,Manhattan_2,Manhattan_9 - Manhattan_2,496
61,Queens_14,Manhattan_3,Queens_14 - Manhattan_3,294
62,Manhattan_2,Brooklyn_20,Manhattan_2 - Brooklyn_20,98
63,Manhattan_4,Brooklyn_12,Manhattan_4 - Brooklyn_12,4
64,Manhattan_11,Manhattan_11,Manhattan_11 - Manhattan_11,4261
65,Manhattan_10,Queens_15,Manhattan_10 - Queens_15,237
66,Manhattan_3,Manhattan_2,Manhattan_3 - Manhattan_2,513
67,Manhattan_7,Queens_15,Manhattan_7 - Queens_15,56
68,Manhattan_9,Manhattan_8,Manhattan_9 - Manhattan_8,3985
69,Manhattan_14,Manhattan_8,Manhattan_14 - Manhattan_8,80
70,Manhattan_20,Manhattan_20,Manhattan_20 - Manhattan_20,365
71,Manhattan_12,Manhattan_7,Manhattan_12 - Manhattan_7,1974
72,Manhattan_5,Manhattan_18,Manhattan_5 - Manhattan_18,19
73,Manhattan_19,Bronx_6,Manhattan_19 - Bronx_6,30
74,Manhattan_8,Manhattan_13,Manhattan_8 - Manhattan_13,1587
75,Manhattan_3,Manhattan_21,Manhattan_3 - Manhattan_21,22
76,Manhattan_1,Manhattan_9,Manhattan_1 - Manhattan_9,1548
77,Queens_16,New Jersey,Queens_16 - New Jersey,20
78,Manhattan_7,Manhattan_15,Manhattan_7 - Manhattan_15,196
79,Brooklyn_17,Brooklyn_15,Brooklyn_17 - Brooklyn_15,132
80,Manhattan_1,Brooklyn_17,Manhattan_1 - Brooklyn_17,151
81,Manhattan_13,Manhattan_14,Manhattan_13 - Manhattan_14,1805
82,Manhattan_7,Brooklyn_16,Manhattan_7 - Brooklyn_16,13
83,Manhattan_12,Queens_15,Manhattan_12 - Queens_15,382
84,Manhattan_9,Queens_15,Manhattan_9 - Queens_15,241
85,Queens_14,Manhattan_11,Queens_14 - Manhattan_11,338
86,Queens_14,Bronx_6,Queens_14 - Bronx_6,23
87,Queens_9,Manhattan_11,Queens_9 - Manhattan_11,31
88,Manhattan_8,Queens_11,Manhattan_8 - Queens_11,22
89,Manhattan_1,Manhattan_5,Manhattan_1 - Manhattan_5,900
90,Manhattan_9,Manhattan_13,Manhattan_9 - Manhattan_13,3402
91,Manhattan_1,Manhattan_1,Manhattan_1 - Manhattan_1,4205
92,Manhattan_9,Manhattan_7,Manhattan_9 - Manhattan_7,2554
93,Manhattan_8,Brooklyn_20,Manhattan_8 - Brooklyn_20,161
94,Manhattan_10,Manhattan_13,Manhattan_10 - Manhattan_13,4730
95,Manhattan_13,Manhattan_11,Manhattan_13 - Manhattan_11,3459
96,Brooklyn_17,Brooklyn_22,Brooklyn_17 - Brooklyn_22,55
97,Brooklyn_20,Brooklyn_22,Brooklyn_20 - Brooklyn_22,102
98,Manhattan_9,Manhattan_14,Manhattan_9 - Manhattan_14,247
99,Manhattan_11,Manhattan_8,Manhattan_11 - Manhattan_8,403
100,Manhattan_12,Manhattan_18,Manhattan_12 - Manhattan_18,177
101,Manhattan_2,Manhattan_7,Manhattan_2 - Manhattan_7,196
102,Manhattan_12,Manhattan_6,Manhattan_12 - Manhattan_6,665
103,Manhattan_13,Manhattan_12,Manhattan_13 - Manhattan_12,5876
104,Queens_14,Manhattan_15,Queens_14 - Manhattan_15,236
105,Manhattan_3,Brooklyn_22,Manhattan_3 - Brooklyn_22,108
106,Queens_14,Brooklyn_3,Queens_14 - Brooklyn_3,137
107,Manhattan_5,Manhattan_9,Manhattan_5 - Manhattan_9,891
108,Manhattan_9,Queens_16,Manhattan_9 - Queens_16,420
